Username,Date,Content,Cleaned_Content
@Alejandro_Efese,"Sep 17, 2023","Replying to 
@rodriolidani
 
@Caperuzo_Efese
 and 
@Eva_Lledo98
Por perfil de entrenadores fichados en cada equipo... En Eibar pinta más Carrión, que su estilo se parece más al de Etxeberria, y en Oviedo pinta más Calero, del estilo de Cervera",
@UEFAcomDanielH,"Sep 23, 2023","👉 Joseba Etxeberria - Zinedine Zidane

⚽ Ahora, el primero entrena al hijo del segundo, Luca.

👊 Ayer, clave Luquita para el segundo triunfo seguido y tercero de la SD #Eibar en la 
@LaLiga2
.
SD Eibar
SD Eibar 🇺🇸🇬🇧",joseba etxeberria zinedine zidane ahora el primero entrena al hijo del segundo luca ayer clave luquita para el segundo triunfo seguido y tercero de la sd eibar en la sd eibar
@SDEibarEN,"Sep 23, 2023","🗣️ Joseba Etxeberria: ""This team is getting better and better.""

#CartagenaEibar | #BetiArmaginak⚔️
Quote
SD Eibar",joseba etxeberria this team is getting better and better cartagenaeibar betiarmaginak quote
@SDEibar,"Sep 22, 2023","🗣️ Joseba Etxeberria: ""Taldea gero eta hobeto dago.""

#CartagenaEibar | #BetiArmaginak⚔️
Asier Aurrekoetxea",joseba etxeberria taldea gero eta hobeto dago cartagenaeibar betiarmaginak
@asier_aurre,"Sep 22, 2023","🗣️ | Joseba Etxeberria tras la victoria del Eibar ante el Cartagena.

""La gestión de ese segundo tiempo en otra situación hubiese sido diferente. Estábamos necesitados"".",joseba etxeberria tras la victoria del eibar ante el cartagena
@FondoSegunda,"Oct 1, 2023","🗣 La opinión de Joseba Etxeberria sobre las 3 victorias consecutivas de la SD Eibar:

""Ahora lo que tenemos que hacer es seguir insistiendo. Lo más difícil no es jugar bien, es volver a jugar bien. Y  eso es lo que nos tenemos que exigir, sobre todo en una semana tan exigente”.
Athletic Herria",la opinión de joseba etxeberria sobre las victorias consecutivas de la sd eibar ahora lo que tenemos que hacer es seguir insistiendo lo más difícil no es jugar bien es volver a jugar bien y eso es lo que nos tenemos que exigir sobre todo en una semana tan exigente
@AthleticHerria,"Oct 1, 2023","Tercera victoria consecutiva para el Bilbao Athletic de Gurpegi.

Y tercera victoria consecutiva para el Gallo Etxeberria y su Eibar.


Mario Jiménez",tercera victoria consecutiva para el bilbao athletic de gurpegi y tercera victoria consecutiva para el gallo etxeberria y su eibar
@MarioJimenezB_,"Sep 30, 2023","Se ha desatado la SD Eibar de Etxeberria.
Jorge Bueno",se ha desatado la sd eibar de etxeberria
@jorgebuenolo,"Sep 30, 2023","Juan Diego Molina, más conocido como Stoichkov, es un jugador del Eibar que SOLO sabe meter golazos. Merecida victoria momentánea para los de Etxeberria.",juan diego molina más conocido como stoichkov es un jugador del eibar que solo sabe meter golazos merecida victoria momentánea para los de etxeberria
@Errigx,"Oct 5, 2023","Oye lo de Joseba Etxeberria cerrando bocas con el Eibar qué está siendo?
BURGOSconecta",oye lo de joseba etxeberria cerrando bocas con el eibar qué está siendo
@burgosconecta,"Oct 5, 2023","El Eibar de Etxeberria impide al 
@CDMirandes
 ser fiable en #Anduva http://leer.burgosconecta.es/5nhzz2

SD Eibar",el eibar de etxeberria impide al ser fiable en anduva
@SDEibar,"Oct 5, 2023","🗣️ Joseba Etxeberria: ""Partido muy completo por parte de todo el equipo.""

#MirandesEibar | #BetiArmaginak⚔️
athletic1898",joseba etxeberria partido muy completo por parte de todo el equipo mirandeseibar betiarmaginak
@notiath98,"Oct 5, 2023",Como anda el eibar de joseba etxebarria 4 victorias seguidas,como anda el eibar de joseba etxebarria victorias seguidas
@JaviK58722715,"Oct 8, 2023","Replying to 
@Un3DeAbrill
Buff, el Athletic por encima de la real al parón, y el Eibar, de la mano de Joseba Etxebarria, como un 🚀
ｔｅｌｅｔｅｘｔｏ",buff el athletic por encima de la real al parón y el eibar de la mano de joseba etxebarria como un
@rtvetext,"Oct 8, 2023","EL EIBAR AMPLÍA LA RACHA DE VICTORIAS SEGUIDAS

lAger Aketxe amplió en Lezama, en el minuto 92, a cinco la racha de victorias consecutivas del Eibar, un triunfo a domicilio ante el vecino Amorebieta 1-2 que permite a los de Joseba Etxeberria auparse momentán...👇",el eibar amplía la racha de victorias seguidas
